Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,82.2,-51.9,90.0,top
C2,100n,C_0402_1005Metric,82.400004,-54.000002,180.0,top
C3,22p,C_0402_1005Metric,85.000003,-58.399999,-90.0,top
C4,22p,C_0402_1005Metric,85.0,-60.4,90.0,top
C5,100n,C_0402_1005Metric,80.999995,-33.729998,-90.0,top
C6,10n,C_0402_1005Metric,104.300002,-38.100001,180.0,top
C7,1u,C_0603_1608Metric,106.800001,-38.6,90.0,top
C8,1u,C_0402_1005Metric,81.899996,-41.100002,0.0,top
C9,100n,C_0402_1005Metric,74.599998,-45.300002,0.0,top
C10,1u,C_0402_1005Metric,80.600004,-49.899999,180.0,top
C11,10u,C_0603_1608Metric,70.8,-38.0,90.0,top
C12,10u,C_0603_1608Metric,72.9,-41.85,-90.0,top
C13,10u,C_0603_1608Metric,83.1,-42.400001,0.0,top
C14,10n,C_0402_1005Metric,93.2,-121.0,0.0,top
C15,10n,C_0402_1005Metric,93.2,-118.0,0.0,top
C16,10u,C_0603_1608Metric,70.6,-73.1,180.0,top
C17,22u,C_0805_2012Metric,76.0,-72.200001,-90.0,top
C18,100n,C_0402_1005Metric,89.6,-62.4,-90.0,top
D1,BAV70,SOT-23-3,183.875002,-45.700001,270.0,top
D2,BAV70,SOT-23-3,183.875002,-64.749994,270.0,top
D3,BAV70,SOT-23-3,183.875,-83.800001,270.0,top
D4,BAV70,SOT-23-3,183.875012,-102.850002,270.0,top
D5,BAV70,SOT-23-3,183.875002,-121.863012,270.0,top
D6,BAV70,SOT-23-3,145.774998,-37.050006,270.0,top
D7,BAV70,SOT-23-3,145.774995,-56.100002,270.0,top
D8,BAV70,SOT-23-3,145.774997,-75.149995,270.0,top
D9,BAV70,SOT-23-3,145.774994,-94.199993,270.0,top
D10,BAV70,SOT-23-3,140.7,-110.6,270.0,top
D11,BAV70,SOT-23-3,107.674995,-50.850003,270.0,top
D12,BAV70,SOT-23-3,107.674997,-69.90001,270.0,top
D13,BAV70,SOT-23-3,107.674997,-88.950006,270.0,top
D14,BAV70,SOT-23-3,107.675004,-108.0,270.0,top
D15,BAV70,SOT-23-3,89.099999,-127.530075,292.5,top
D16,5V,D_SOD-523,104.5,-36.600001,180.0,top
D17,5050,LED_RGB_5050-6-Flippable,88.737499,-30.0,0.0,bottom
FB1,60R,L_0805_2012Metric,104.2,-39.5,180.0,top
J2,Nice!View,Nice!View_Flippable,76.7,-50.4375,90.0,bottom
J3,USB_C_Receptacle,HRS_CX70M-24P1,100.6,-28.4,180.0,top
J4,Bat,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,87.0,-50.6,0.0,top
J5,VIK Keyboard,VIK-Keyboard-Connector-Horizontal,82.8,-71.5,0.0,top
L1,2u2,L_Murata_DFE201610P,71.1,-41.25,-90.0,top
L2,470n,L_Murata_DFE201610P,73.399999,-74.4,0.0,top
Q1,"SSM3J338R,LF",SOT-23-3,87.0,-45.6,0.0,top
R1,10k,R_0402_1005Metric,78.299998,-46.3,180.0,top
R2,10k,R_0402_1005Metric,76.299998,-46.300002,0.0,top
R3,10k,R_0402_1005Metric,80.999995,-35.729999,90.0,top
R4,470k,R_0402_1005Metric,79.5,-45.3,180.0,top
R5,10k,R_0402_1005Metric,93.2,-122.0,0.0,top
R6,10k,R_0402_1005Metric,93.2,-120.0,180.0,top
R7,10k,R_0402_1005Metric,93.2,-119.0,0.0,top
R8,10k,R_0402_1005Metric,93.2,-117.0,180.0,top
R9,100k,R_0402_1005Metric,71.799999,-70.600001,180.0,top
R10,732k,R_0402_1005Metric,73.8,-70.6,180.0,top
SW1,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,193.400004,-55.000002,180.0,top
SW2,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,193.400007,-74.050018,180.0,top
SW3,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,193.400028,-93.100024,180.0,top
SW4,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,193.399999,-112.150026,180.0,top
SW5,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,193.400006,-131.200013,180.0,top
SW6,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,174.350009,-52.618769,180.0,top
SW7,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,174.350012,-71.66877,180.0,top
SW8,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,174.35002,-90.718746,180.0,top
SW9,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,174.350023,-109.768773,180.0,top
SW10,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,174.350007,-128.818777,180.0,top
SW11,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,155.300008,-47.856287,180.0,top
SW12,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,155.300011,-66.906267,180.0,top
SW13,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,155.300007,-85.956258,180.0,top
SW14,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,155.300003,-105.006274,180.0,top
SW15,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,155.300019,-124.056252,180.0,top
SW16,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,136.250023,-43.887506,180.0,top
SW17,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,136.250009,-62.937536,180.0,top
SW18,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,136.250029,-81.987516,180.0,top
SW19,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,136.25001,-101.037503,180.0,top
SW20,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,123.550023,-128.818759,180.0,top
SW21,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,117.200014,-47.856253,180.0,top
SW22,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,117.200023,-66.906251,180.0,top
SW23,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,117.199996,-85.956279,180.0,top
SW24,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,117.200005,-105.006257,180.0,top
SW25,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,102.359333,-131.608584,195.0,top
SW26,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,98.150019,-51.031278,180.0,top
SW27,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,98.150009,-70.081279,180.0,top
SW28,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,98.150021,-89.131271,180.0,top
SW29,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,98.150011,-108.181288,180.0,top
SW30,CPG151101S11,MX-Choc-KS27-1U-Hotswap-Flippable,82.612741,-139.787874,210.0,top
SW31,PTS645,Panasonic_EVQPUL_EVQPUC,76.7,-34.25,270.0,top
SW32,RotaryEncoder,EC10E_Flippable,136.3,-128.4,270.0,bottom
U1,MDBT50Q-U1MV2,Raytac_MDBT50Q-U1MV2,73.15,-56.6,90.0,top
U2,TPD4E05U06,USON-10_2.5x1.0mm_P0.5mm,100.000001,-37.999998,0.0,top
U3,nPM1300,QFN-32-1EP_5x5mm_P0.5mm_EP3.5x3.5mm,76.8,-41.6,270.0,top
U4,TPS61023DRL,SOT-563,73.5,-72.200001,270.0,top
U5,SN74AHCT1G125,SOT-353_SC-70-5,87.7,-62.5,0.0,top
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,83.300002,-59.399996,90.0,top
